content,id,logo,unTappdAverageRating,unTappdRatings,volume assumed,Type,Town,County,Founded,Defunct,website,URL,Field 17,Count of Brews,StdDvABV,Avg ABV,IpAs,Count of Types,ICBI Member,phone,distributor/rep,distributor-rep,distributorOrrep,jurisdiction,FT_employees,PT_employees,output_2018,output_2017,output_2016,output_2015,output_2014,output_2013,output_2012,output_2011,output_2010,output_2009,tours,Naming Origin,SuccessorBrewery,twitterH,foundedMonth,foundedDay,defunctDay,defunctMonth,defunctYear,start,end,PlaceNamed,MythNamed,BrewerFounderNAmed,PhysicalBreweryClosed,PhysicalBreweryOpened,Farmbased,Operating,ExportPercent?,OnFarmSupply,SourceofFoundFunding,Lagers,Source,NodeID,YearsinBusiness,GrowOwnHops,GrowOwnBarley,HasTaproom,OffersTours,output_2019,output_2020,output_2021,output_2022,BrewedElsewhere,Count of Colabs,town,lon,lat,geo,
Balbriggan Brewing,balbriggan,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,,,0,Defunct,Lusk,Meath,15/01/1999,29/09/2005,,asharte.freeserve.co.uk/brewers.htm,,1,?,4.8,Irish Red Ale,1,,,,,,ROI,,,,,,,,,,,,,,,,,1,15,29,9,2005,1999-1-15,2005-9-29,1,,,,,,No,,,,1,,175,6.71,,,,,,,,,,0,Lusk,-6.1658841,53.5263264,53.52632646,
Biddy Early Brewery,biddyearly,https://irishcraftbrewing.com/pics/logos/biddyearlyLogo.jpeg,3.5,22,2,Microbrewery,Inagh,Clare,01/01/1995,01/01/2008,,Http://beb.ie,,5,0.394757309,4.325,"Pale Lager
Irish Red Ale
Irish Dry Stout
Honey Beer
Wild Ale",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,1,2008,1995-1-1,2008-1-1,,1,,,,,No,,,,5,,170,13.01,,,,,,,,,,0,Inagh,-9.174876,52.877513,52.87751392,
Kinsale Brewing Company,kinsale,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,2.69,33,4,Defunct,The Glen Kinsale,Cork,01/01/2001,01/01/2009,,,,5,0,4.3,"Witbier
Irish Dry Stout
Pale Wheat Ale
Pale Ale
Lager",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,1,2009,2001-1-1,2009-1-1,1,,,,,,No,,,,5,,95,8.01,,,,,,,,,,0,The Glen Kinsale,-8.522567,51.706827,51.70682785,
Messrs Maguire,messrmaguire,https://irishcraftbrewing.com/pics/logos/messrmaguireLogo.jpeg,3.47,228,15,Defunct,Burgh Quay,Dublin,01/01/1998,01/01/2013,,,,6,0.559464029,4.74,"Porter
Pilsner
American Pale Ale
Irish Red Ale
Irish Dry Stout
Pale Lager",1,,,,,,ROI,,,,,,,,,,,,,,,JW Sweetman,,1,1,1,1,2013,1998-1-1,2013-1-1,,,1,,,,No,,,,6,,268,15.01,,,,,,,,,,0,Burgh Quay,-6.258009,53.346971,53.34697163,
Muckish Mountain Brewery,muckish,https://irishcraftbrewing.com/pics/logos/muckishLogo.jpeg,3.38,12,12,Defunct,Donegal,Donegal,01/01/2014,01/01/2015,,,,1,?,4.3,Irish Red Ale,1,,,,,,ROI,,,,,,,,,,,,,No,,,,1,1,1,1,2015,2014-1-1,2015-1-1,,,,,,,No,,,,1,,110,1,,,No,,,,,,,0,Donegal,-8.1096143,54.653827,54.65382781,
Maltmeister,maltmeister,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,3.92,35,35,Defunct,Bangor,Down,01/01/2015,01/01/2016,,,,7,1.158200575,5.414285714,"Spiced Beer
Witbier
Maibock
Helles Lager
English Stout
German Pilsner
American Lager",1,,,,,,UK,,,,,,,,,,,,,,,,,1,1,1,1,2016,2015-1-1,2016-1-1,,,,,,,No,,,,7,,209,1,,,,,,,,,,0,Bangor,-5.686251,54.650166,54.65016657,
BrewBot,brewbot,https://irishcraftbrewing.com/pics/logos/brewbotLogo.jpeg,3.67,211,106,Defunct,Belfast,Antrim,01/01/2015,01/01/2017,,http://www.brewbot.io,,51,1.327327028,6.122727273,"Extra Stout
Porter
Imperial Brown Ale
Imperial India Pale Ale
English India Pale Ale
Porter
India Session Ale
Irish Red Ale
Porter
International Pale Ale
Rye Pale Ale
Lager
American IPA
American Pale Ale
Saison Ale
American IPA
American IPA
Baltic Porter
Imperial Red Ale
Czech Pilsner
Belgian Dubbel
American Pale Ale
English Pale Ale
American Pale Ale
Export Stout
Imperial Black Ale
Imperial Red Ale
Baltic Porter
Porter
Imperial Red Ale
Brown Ale
Rye Pale Ale
English India Pale Ale
India Session Ale
International Pale Ale
Rye Pale Ale
Porter
Cream Ale
American Pale Ale
Kolsch Lager
Witbier
Oatmeal Stout
Hefeweizen
American IPA
American IPA
American IPA
India Session Ale
American Pale Ale
Wheat Beer
Golden Ale
English India Pale Ale",1,,,,,,UK,,,,,,,,,,,,,,,,,1,1,1,1,2017,2015-1-1,2017-1-1,,,,,,,No,,,,28,,27,2,,,,,,,,,,0,Belfast,-5.93012,54.597285,54.59728559,
Dingle Brewing Company,dingle,https://irishcraftbrewing.com/pics/logos/dingleLogo.jpeg,3.36,6682,1112,Defunct,Spa Road,Kerry,01/01/2011,01/01/2017,,,,1,?,4.2,Pale Lager,1,,,,,,ROI,,,,,,,,,,,,,Yes,,,,1,1,1,1,2017,2011-1-1,2017-1-1,1,,,,,,No,,,,1,,53,6.01,,,No,,,,,,,0,Spa Road,-10.262823,52.142809,52.1428091,
Jack Cody's,jackdcodys,https://irishcraftbrewing.com/pics/logos/jackdcodysLogo.jpeg,3.42,3185,1062,Defunct,Boyne Business Park,Louth,01/01/2014,01/01/2017,,https://jackcodys.com/,,13,0.886146946,5.176923077,"American Pale Ale
American Red Ale
Pilsner
American IPA
Milk Stout
Extra Stout
American IPA
English Brown Ale
Saison Ale
English Bitter
Imperial India Pale Ale
English Bitter
American Pale Ale",1,Yes,,,,,ROI,,,,,,,,,,,,,No,,,,1,1,1,1,2017,2014-1-1,2017-1-1,,,1,,,,No,,,,10,,84,3,,,No,,,,,,,0,Boyne Business Park,-6.324772,53.725564,53.72556463,
Achill Island Brewery,achill,https://irishcraftbrewing.com/pics/logos/achillLogo.jpeg,3.14,192,104,Defunct,Bunacurry,Mayo,01/01/2016,01/11/2017,,http://www.achillbrewery.com,,3,0.4,4.4,"Golden Ale
Red Ale
Red Ale",1,,,,,,ROI,,,,,,,,,,,,,No,,,,1,1,1,11,2017,2016-1-1,2017-11-1,1,,,,,,No,,,,2,,5,1.84,,,No,,,,,,,0,Bunacurry,-9.9857745,53.9751921,53.9751922,
Evans' Brewery,evans,https://irishcraftbrewing.com/pics/logos/evansLogo.jpeg,3.79,43,22,Defunct,Carndonagh,Donegal,01/01/2016,01/12/2017,,,,2,0.212132034,4.15,"Golden Ale
Stout Other",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,12,2017,2016-1-1,2017-12-1,,,1,,,,No,,,,2,,64,1.92,,,,,,,,,,0,Carndonagh,-7.2668905,55.2506229,55.25062297,
Jack Doyle's,jackdoyles,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,3.25,116,30,Defunct,Blackwater,Wexford,01/01/2014,01/12/2017,,,,4,0.884590301,4.675,"International Pale Ale
Irish Dry Stout
Dark Ale
Lager",1,Yes,,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,12,2017,2014-1-1,2017-12-1,,,1,,,,No,,,,4,,85,3.92,,,,,,,,,,0,Blackwater,-6.348784,52.445318,52.44531863,
Liberty Brewing Company,liberty,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,,,0,Defunct,Thurles,Tipperary,01/01/2016,01/01/2018,,,,4,0.694622199,4.975,"Irish Red Ale
American Pale Ale
Irish Red Ale
Irish Red Ale",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,1,2018,2016-1-1,2018-1-1,,,,,,,No,,,,2,,,2,,,,,,,,,,0,Thurles,-7.812957,52.678095,52.67809578,
Pokertree Brewing Company,pokertree,https://irishcraftbrewing.com/pics/logos/pokertreeLogo.jpeg,3.4,1507,301,Defunct,Carrickmore,Tyrone,01/01/2013,02/01/2018,,,,16,0.890482079,5.46875,"Oatmeal Stout
Irish Red Ale
Golden Ale
Black Cascadian Ale
English India Pale Ale
Biere de Garde
Berliner Weisse
Sour Ale
Porter
Ginger Beer
Porter
Sour Ale
American IPA
Belgian Strong Golden Ale
Red Ale
Biere de Garde",1,,,,,Barry & Fitzwilliam,UK,,,,,,,,,,,,,,,,,1,1,2,1,2018,2013-1-1,2018-1-2,,,,,,,No,,,,14,,121,5.01,,,,,,,,,,1,Carrickmore,-7.0480128,54.5955769,54.59557697,
Heartland Brewing Company,heartland,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,3.5,4,5,Defunct,"Derrymullen, Ballinasloe",Galway,01/01/2018,01/11/2018,,https://www.facebook.com/pg/heartlandbrewing,,1,?,4,Belgian Blonde,1,,,,,,ROI,,,,,,,,,,,,,No,,,,1,1,1,11,2018,2018-1-1,2018-11-1,1,,,,,,No,,,,1,,185,0.83,,,No,,,,,,,0,"Derrymullen, Ballinasloe",-8.253369,53.341536,53.34153683,
Red Hand Brewing Company,redhand,https://irishcraftbrewing.com/pics/logos/redhandLogo.jpeg,3.44,91,17,Defunct,Dungannon,Tyrone,01/01/2013,01/04/2018,,,,2,0.565685425,5.4,"American Pale Ale
American IPA",1,,,,,,UK,,,,,,,,,,,,,,,,,1,1,1,4,2018,2013-1-1,2018-4-1,,1,,,,,No,,,,3,,127,5.25,,,,,,,,,,0,Dungannon,-6.7669352,54.5082725,54.50827257,
Arthurstown Brewing Company,arthurstown,https://irishcraftbrewing.com/pics/logos/arthurstownLogo.jpeg,3.51,1885,553,Defunct,Arthurstown,Wexford,01/01/2015,31/05/2018,,http://www.arthurstownbrewingco.com,,21,1.046535638,5.245,"English Pale Ale
Porter
American Pale Ale
Irish Red Ale
Irish Red Ale
American Red Ale
Saison Ale
Czech Pilsner
Irish Red Ale
Baltic Porter
Irish Red Ale
American Pale Ale
English Porter
Fruit Beer
English Pale Ale
American IPA
English Porter
New England IPA
American IPA
International IPA
Porter",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,31,5,2018,2015-1-1,2018-5-31,1,,,,,,No,,,,14,,7,3.41,,,,,,,,,,0,Arthurstown,-6.9513715,52.2420168,52.24201687,
Sheelin,sheeling,https://irishcraftbrewing.com/pics/logos/sheelingLogo.jpeg,3.37,19,4,Defunct,Bellanaleck,Fermanagh,01/04/2013,01/06/2018,,,,1,?,4.5,Blonde Ale,1,,,,,,UK,,,,,,,,,,,,,,,,@sheelinbrewery,4,1,1,6,2018,2013-4-1,2018-6-1,1,,,,,,No,,,,1,,132,5.17,,,,,,,,,,0,Bellanaleck,-7.6422052,54.2964196,54.29641968,
Independent Brewing Company of Ireland,independent,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,3.54,6236,1386,Defunct,Carraroe,Galway,01/01/2014,01/07/2018,,http://independentbrewing.ie/,,23,1.072336124,5.29047619,"American Pale Ale
Irish Red Ale
Golden Ale
Milk Stout
American Pale Ale
Black Cascadian Ale
International Pale Ale
American IPA
Porter
Export Stout
Imperial Stout
Extra Stout
Irish Dry Stout
Golden Ale
Porter
India Session Ale
Red IPA
India Session Ale
International Pale Ale
India Session Ale
American Light Lager
India Session Ale
International Pale Ale",1,Yes,,,,,ROI,6,,,,,,,,,,,,No,,,,1,1,1,7,2018,2014-1-1,2018-7-1,,,,,,,No,,,,15,,81,4.5,,,No,,,,,,,0,Carraroe,-9.599334313,53.26471731,53.26471731,
Bo Bristle,bobristle,https://irishcraftbrewing.com/pics/logos/bobristleLogo.jpeg,3.54,1688,187,Defunct,Banagher,Offaly,01/01/2010,01/01/2019,,http://www.bobristle.com/,,16,1.297731193,5.394375,"English Pale Ale
American Red Ale
Czech Pilsner
Irish Dry Stout
Smoked Beer
Imperial India Pale Ale
Imperial Red Ale
Sweet Stout
Fruit Beer
American Brown Ale
Lager
Irish Red Ale
Extra Stout
American Red Ale
English Bitter
Export Stout",1,,,,,Barry & Fitzwilliam,ROI,,,,,,,,,,,,,No,"The name Bo Bristle comes from Celtic legend, where great importance is attached to the bristles of the boar. They were the distinguishing characteristic of the animal and symbolic of
its strength. Boar hunting features heavily in Celtic & Irish mythology. One such story is that of Fionn Mac Cumhaill luring his rival Diarmuid Ua Duibhne to his death;
gored by the powerful bristle of the boar. Our beers are likewise known for their strength, flavour and seriously savage character. Sláinte!",,,1,1,1,1,2019,2010-1-1,2019-1-1,,,,,,,No,,,,14,,22,9.01,,,No,,,,,,,0,Banagher,-7.9861049,53.1901112,53.19011128,
Boghopper Brewery,boghopper,https://irishcraftbrewing.com/pics/logos/boghopperLogo.jpeg,3.49,851,213,Defunct,Muff,Donegal,01/01/2015,01/01/2019,,http://www.boghopper.ie,,15,0.870686647,5.366666667,"American Pale Ale
Czech Pilsner
Saison Ale
Red Ale
Brown Ale
International Pale Ale
English Brown Ale
American Pale Ale
Pilsner
Irish Red Ale
International IPA
American Pale Wheat Ale
American Pale Ale
Pumpkin Beer
India Session Ale",1,,,,,,ROI,,,,,,,,,,,,,,,Otterbank Brewing Company,,1,1,1,1,2019,2015-1-1,2019-1-1,,,,,,,No,,,,13,,23,4,,,,,,,,,,1,Muff,-7.284137,55.071007,55.07100773,
Carrig Brewing Company,carrig,https://irishcraftbrewing.com/pics/logos/carrigLogo.jpeg,3.48,12920,1843,Defunct,Drumshanbo,Leitrim,01/01/2012,01/01/2019,,http://carrigbrewing.com/,,55,0.992861018,5.282692308,"Lager
Irish Red Ale
Black India Ale
English Pale Ale
American Red Ale
Czech Pilsner
International Pale Ale
English Pale Ale
Irish Red Ale
Red IPA
American IPA
International Pale Ale
International Pale Ale
American Red Ale
India Session Ale
Irish Dry Stout
American IPA
Dark Ale
Black Cascadian Ale
Belgian Witbier
American Red Ale
Black Cascadian Ale
Hefeweizen
Irish Red Ale
Lager
Milk Stout
Porter
India Session Ale
Rauchbier
International Pale Ale
Black Cascadian Ale
American Red Ale
Witbier
Rye IPA
Hefeweizen
Spiced Beer
Rye Beer
International IPA
International IPA
International IPA
International IPA
Double IPA
Pilsner
New Zealand Pale Ale
Black Cascadian Ale
Black Cascadian Ale
Red IPA
Dark Ale
Red Ale
American IPA
Cream Ale
Coffee Stout
Double IPA
American Pale Ale
Helles Lager",1,Yes,,,,,ROI,,,,,,,,,,,,,Yes,"Carrig, meaning rock, is synonymous with the Irish landscape, in that almost every parish has a placename beginning with Carrig or Carrick. We wanted our craft beers to symbolise Ireland’s rich cultural, brewing and geographical heritage, a rock of sorts. Our Curlew, continues to spread its wings. Our beers are available nationwide and we have exported abroad to regions of Europe and North America",Brú Brewery,,1,1,1,1,2019,2012-1-1,2019-1-1,1,,,,,,No,,,,32,,38,7.01,,,No,,,,,,,1,Drumshanbo,-8.0358416,54.048727,54.0487278,
Kelly's Mountain Brew,kellys,https://irishcraftbrewing.com/pics/logos/kellysLogo.jpeg,3.42,2027,405,Defunct,Clane,Kildare,01/01/2014,01/01/2019,,,,11,1.007065945,5.027272727,"International Pale Ale
India Session Ale
Irish Red Ale
Porter
Double IPA
Imperial Stout
Pilsner
Lager
Blonde Ale
International Pale Ale
American Pale Ale",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,1,2019,2014-1-1,2019-1-1,,,1,,,,No,,,,10,,89,5,,,,,,,,,,0,Clane,-6.6870404,53.293785,53.29378567,
Glens Of Antrim Craft Ale And Beers,glensofantrim,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,3.58,857,166,Defunct,Ballycastle,Antrim,01/01/2014,01/03/2019,,https://glensofantrimcraftaleandbeers.com,,6,0.419523539,4.6,"Irish Red Ale
Blonde Ale
Lager
Hefeweizen
Irish Dry Stout
Witbier",1,Yes,,,,,UK,,,,,,,,,,,,,,,,@RathlinRed,1,1,1,3,2019,2014-1-1,2019-3-1,1,,,,,Yes,No,,,,6,,70,5.16,,,,,,,,,,0,Ballycastle,-6.2532947,55.2052888,55.20528886,
West Mayo Brewery,westmayo,https://irishcraftbrewing.com/pics/logos/westmayoLogo.jpeg,3.44,1000,175,Defunct,Castlebar,Mayo,01/07/2013,25/03/2019,,,,6,0.348807492,4.383333333,"Irish Red Ale
Blonde Ale
Porter
Brown Ale
Smoked Beer
International Pale Ale",1,,,,,,ROI,,,,,,,,,,,,,No,,,@westmayobrewery,7,1,25,3,2019,2013-7-1,2019-3-25,1,,,,,Yes,No,,,,6,,149,5.73,,,No,,,,,,,0,Castlebar,-9.2879257,53.8550014,53.85500149,
Finn Valley Brewing,finnvalley,https://irishcraftbrewing.com/pics/logos/finnvalleyLogo.jpeg,3.27,153,51,Defunct,"Furzehaven house, Donegal Rd,
Ballybofey, Ireland, F93 TX68",Donegal,01/01/2017,01/01/2020,,http://finnvalleybrewing.ie,,5,0.482700735,4.74,"Rye Pale Ale
Amber Ale
International Pale Ale
Red Ale
Pale Ale",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,1,2020,2017-1-1,2020-1-1,1,,,,,,No,,,,5,,176,3,,,,,,,,,,0,"Furzehaven house, Donegal Rd,
Ballybofey, Ireland, F93 TX68",-7.786102,54.796,54.79600078,
Lecale Brewery,lecale,https://irishcraftbrewing.com/pics/logos/lecaleLogo.jpeg,3.44,211,106,Defunct,Ardglass,Down,01/01/2018,01/01/2020,,,,5,1.233220716,5.083333333,"Irish Red Ale
American Lager
Irish Dry Stout
Pale Lager
Irish Dry Stout",1,,,,,,UK,,,,,,,,,,,,,,,,,1,1,1,1,2020,2018-1-1,2020-1-1,1,,,,,,No,,,,4,,210,2,,,,,,,,,,0,Ardglass,-5.613985,54.264288,54.26428856,
Loudons Brewing,loudons,https://irishcraftbrewing.com/pics/logos/loudonsLogo.jpeg,3.44,277,88,Defunct,"Glendree, Ayle Upper, Feakle",Clare,01/01/2017,01/03/2020,,https://www.loudons.ie,,6,0.109544512,4.1,"International Pale Ale
Australian Pale Ale
Pilsner
English Pale Ale
Irish Dry Stout
Helles Lager",1,,087 402 4807,,,,ROI,,,,,,,,,,,,,,,,@loudonsbrewing,1,1,1,3,2020,2017-1-1,2020-3-1,,,1,,,Yes,No,,,,6,,186,3.16,,,,,,,,,,0,"Glendree, Ayle Upper, Feakle",-8.716654,52.913425,52.91342587,
Drew Fox Brewing,drewfox,https://irishcraftbrewing.com/pics/logos/drewfoxLogo.jpeg,3.58,1683,303,Defunct,Clonard,Wexford,01/01/2015,20/07/2020,,http://www.cleverman.ie/brewery/,,6,0.285773803,4.483333333,"Smoked Beer
American Pale Ale
Irish Red Ale
Kolsch Lager
Irish Dry Stout
Stout Other",1,,,,,,ROI,,,,,,,,,,,,,No,,,@clevermanbeer,1,1,20,7,2020,2015-1-1,2020-7-20,,,1,,,,No,,,,6,,58,5.55,,,No,,,,,,,0,Clonard,-6.501615,52.329646,52.32964665,
Corrib Brewing Company,corrib,https://irishcraftbrewing.com/pics/logos/corribLogo.jpeg,3.49,793,142,Defunct,Oughterard,Galway,01/01/2015,01/08/2020,,,,11,0.630947889,4.714285714,"American Pale Ale
California Common Ale
Amber Lager
California Common Ale
Irish Dry Stout
American Red Ale
Golden Ale
International Pale Ale
Hefeweizen
Rye Stout
Kolsch Lager",1,,,,,,ROI,,,,,,,,,,,,,,,,@wildbatbeer,1,1,1,8,2020,2015-1-1,2020-8-1,1,,,,,,No,,,,10,,45,5.59,,,,,,,,,,0,Oughterard,-9.3189472,53.4285481,53.42854819,
Hillstown Brewery,hillstown,https://irishcraftbrewing.com/pics/logos/hillstownLogo.jpeg,3.39,8163,1239,Defunct,Randalstown,Antrim,01/06/2014,01/01/2021,,http://www.hillstownbrewery.com,,48,1.95497184,5.475,"American Amber Ale
Imperial Stout
Belgian Blonde
Witbier
Black Cascadian Ale
Session IPA
Lager
Session IPA
American IPA
Dark Lager
Saison Ale
Hefeweizen
American Pale Ale
Red IPA
Session IPA
Imperial India Pale Ale
Golden Ale
Rye Pale Ale
Imperial Red Ale
New England IPA
Sour Ale
Winter Warmer
India Pale Ale
Hefeweizen
Euro Lager
India Pale Ale
Double IPA
New England DIPA
New England DIPA
Session IPA
New England IPA
White Stout
Scotch Ale
Double IPA
Sour Ale
Brut IPA
Gose
India Session Ale
Pale Lager
Fruit Beer
Wheat Beer
India Session Ale
Gose
Imperial Double Stout
Red Lager
India Session Ale
Fruited Sour
Fruited Sour",1,,,,,,UK,,,,,,,,,,,,,No,,Our Brewery,@hillstownBeer,6,1,1,1,2021,2014-6-1,2021-1-1,1,,,,,Yes,No,,,,36,,77,6.59,,,No,,,,,,,2,Randalstown,-6.320274,54.7500518,54.75005186,
Munster Brewery,munster,https://irishcraftbrewing.com/pics/logos/munsterLogo.jpeg,3.23,429,58,Defunct,Youghal,Cork,01/01/2014,01/06/2021,,,,5,0.336650165,4.4,"American Amber Lager
Irish Red Ale
Pale Lager
Session IPA
Blonde Ale",1,,,,,Barry & Fitzwilliam,ROI,,,,,,,,,,,,,Yes,,Holo Kombucha,,1,1,1,6,2021,2014-1-1,2021-6-1,1,,,,,,No,,,,5,,111,7.42,,,,Yes,,,,,,0,Youghal,-7.8471707,51.9542704,51.95427048,
Old Mill Brewing Company,oldmill,https://irishcraftbrewing.com/pics/logos/oldmillLogo.jpeg,3.68,281,82,Defunct,Convoy,Donegal,01/01/2018,01/06/2021,,https://www.facebook.com/oldmillbrewing/,,9,0.959311095,5.255555556,"American Pale Ale
Irish Red Ale
American Pale Ale
New England IPA
Stout Other
Pilsner
English Brown Ale
Euro Lager
International IPA",1,Yes,,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,6,2021,2018-1-1,2021-6-1,1,,,,,,No,,,,8,,192,3.42,,,,,,,,,,0,Convoy,-7.656715,54.856531,54.85653177,
